country,designation,points,price,province,region_1,region_2,variety,winery
Australia,Special Select,92,65,South Australia,Coonawarra,,Shiraz,Penley Estate
Italy,,87,20,Veneto,Valpolicella Superiore Ripasso,,"Corvina, Rondinella, Molinara",Grotta del Ninfeo
Australia,,89,18,Victoria,Goulburn Valley,,Shiraz,Tahbilk
US,,92,58,California,Napa Valley,Napa,Cabernet Sauvignon,Joseph Phelps
US,,90,24,California,Lake County,Mendocino/Lake Counties,Petite Sirah,Two Angels
Italy,Regina di Renieri,91,40,Tuscany,Toscana,,Syrah,Renieri
France,,88,216,Burgundy,Bâtard-Montrachet,,Chardonnay,Joseph Drouhin
Italy,Cerviolo Bianco,87,25,Tuscany,Toscana,,Chardonnay,San Fabiano Calcinaia
Chile,Character,86,22,Maipo Valley,,,Cabernet Sauvignon-Carmenère,Haras
US,Chaleur Estate,91,45,Washington,Yakima Valley,Columbia Valley,Red Blend,DeLille
New Zealand,Judd Estate,87,17,Gisborne,,,Chardonnay,Matua Valley
France,,93,110,Bordeaux,Saint-Émilion,,Bordeaux-style Red Blend,Vieux Château Mazerat
US,Washington State Cuvée,89,28,Washington,Columbia Valley (WA),Columbia Valley,Red Blend,Walla Walla Vintners
US,Peasant,86,40,California,Paso Robles,Central Coast,Rhône-style Red Blend,Four Vines
France,Réserve,88,13,Alsace,Alsace,,Riesling,Willm
Italy,,85,,Tuscany,Chianti Colli Aretini,,Sangiovese,Villa Cilnia
France,Luna,87,16,Rhône Valley,Côtes du Rhône Villages,,Rhône-style White Blend,Laudun Chusclan
US,Nielson Vineyard,92,45,California,Santa Maria Valley,Central Coast,Pinot Noir,Byron
New Zealand,Pathway Single Estate,85,15,Marlborough,,,Pinot Noir,Ara
Italy,Bussia Corsini,87,48,Piedmont,Barolo,,Nebbiolo,Podere Ruggeri Corsini
US,Spofford Station,86,25,Oregon,Walla Walla Valley (OR),Oregon Other,Cabernet Sauvignon,Lujon
Italy,,92,40,Piedmont,Barolo,,Nebbiolo,Beni di Batasiolo
US,Areté,85,60,Oregon,Oregon,Oregon Other,Pinot Noir,Iris Vineyards
US,,87,20,Washington,Washington,Washington Other,Cabernet-Syrah,Latah Creek
Turkey,,87,15,Turkey,,,Emir,Turasan
US,Reserve,90,40,California,Santa Barbara County,Central Coast,Pinot Noir,Addamo
Italy,Le Pitre,86,29,Southern Italy,Salento,,White Blend,Villa Mottura
France,,90,50,Rhône Valley,Hermitage,,Rhône-style White Blend,E. Guigal
France,Tsarine Rosé Brut,90,40,Champagne,Champagne,,Champagne Blend,Chanoine
Italy,Bellovedere,90,,Central Italy,Montepulciano d'Abruzzo,,Montepulciano,La Valentina
Australia,Leston,90,25,Western Australia,Margaret River,,Shiraz,Howard Park
US,Dario Estate,88,25,Oregon,Chehalem Mountains,Willamette Valley,Pinot Noir,Potter's Vineyard
US,Sleepy Hollow Vineyard,88,35,California,Monterey,Central Coast,Chardonnay,Talbott
Italy,,87,52,Tuscany,Brunello di Montalcino,,Sangiovese Grosso,Podere Paganico
US,Unoaked,87,14,New York,Finger Lakes,Finger Lakes,Chardonnay,Heron Hill
US,Silacci Vineyard,87,28,California,Monterey,Central Coast,Pinot Noir,De Tierra
US,Wallula Vineyard Biodynamic,91,20,Washington,Columbia Valley (WA),Columbia Valley,Riesling,Pacific Rim
Italy,Le More,86,14,Central Italy,Sangiovese di Romagna,,Sangiovese,Castelluccio
New Zealand,Te Muna Road Vineyard,90,39,Martinborough,,,Pinot Noir,Craggy Range
Italy,,90,24,Northeastern Italy,Collio,,White Blend,Zuani
US,Boushey Vineyards,87,50,Washington,Yakima Valley,Columbia Valley,Syrah,Three Rivers
France,Barrel sample,93,,Bordeaux,Saint-Émilion,,Bordeaux-style Red Blend,Château Faugères
US,Bonatello Riserva,90,35,Washington,Columbia Valley (WA),Columbia Valley,Sangiovese,Tre Nova
US,Sea Flower Dry,85,15,California,Central Coast,Central Coast,Rosé,Deep Sea
Portugal,Rubrica Branco,93,25,Alentejano,,,Portuguese White,Luis Duarte
US,Horse Heaven Vineyard,90,15,Washington,Horse Heaven Hills,Columbia Valley,Sauvignon Blanc,Chateau Ste. Michelle
Italy,Acinatium,93,55,Veneto,Recioto di Soave,,Garganega,Suavia
Argentina,,87,9,Mendoza Province,Mendoza,,Merlot,Tango Sur
Italy,Vintage Collection Dosage Zero Noir Riserva,94,,Lombardy,Franciacorta,,Pinot Nero,Ca' del Bosco
Italy,Vigneto Fiorato,89,30,Veneto,Recioto della Valpolicella Classico,,"Corvina, Rondinella, Molinara",Tommasi
Austria,Gedersdorf Moosburgerin,88,16,Kremstal,,,Grüner Veltliner,Felsner
Argentina,,87,10,Mendoza Province,Mendoza,,Torrontés,El Fogón
Italy,Fidenzio,88,,Tuscany,Toscana,,Red Blend,Podere San Luigi
Chile,,87,18,Casablanca Valley,,,Pinot Noir,Ritual
France,Cuvée les Epinats,85,12,Loire Valley,Saumur,,Chenin Blanc,Alliance Loire
US,Block 007 Estate Vineyard,87,25,California,Dry Creek Valley,Sonoma,Cabernet Sauvignon,Pedroncelli
US,Diamond Dust Vineyard,90,22,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Trig Point
US,,90,12,Oregon,Willamette Valley,Willamette Valley,Riesling,Willamette Valley Vineyards
Germany,Bürklin Estate,87,15,Pfalz,,,Riesling,Dr. Bürklin-Wolf
Austria,Steinriegl Smaragd,94,44,Wachau,,,Riesling,Schmelz
US,,88,20,California,Paso Robles,Central Coast,Zinfandel,Grey Wolf Cellars
Portugal,Casa de Santar,88,15,Dão,,,Portuguese White,Dão Sul
France,,89,63,Burgundy,Nuits-St.-Georges,,Pinot Noir,Domaine Faiveley
Spain,,86,12,Northern Spain,Rioja,,Tempranillo,Solar de Randez
US,,88,11,Washington,Columbia Valley (WA),Columbia Valley,Sauvignon Blanc,Hogue
South Africa,The Rose Garden,87,13,Coastal Region,,,Rosé,Boschendal
US,Old Vine,89,22,California,Dry Creek Valley,Sonoma,Zinfandel,Pezzi King
Chile,La Joya Gran Reserva,85,15,Colchagua Valley,,,Gewürztraminer,Viña Bisquertt
Chile,Visión,88,15,Casablanca Valley,,,Sauvignon Blanc,Cono Sur
Spain,Finca Resalso,87,15,Northern Spain,Ribera del Duero,,Tinto Fino,Emilio Moro
Spain,Rosado,81,10,Northern Spain,Ribera del Duero,,Tempranillo,Viña Vilano
US,Reserve,91,75,California,Diamond Mountain District,Napa,Cabernet Sauvignon,Martin Ray
Spain,Luzon Verde,84,9,Levante,Jumilla,,Monastrell,Bodegas Luzón
Italy,,85,10,Tuscany,Chianti,,Sangiovese,Piccini
Austria,Loibenberg Smaragd,93,50,Wachau,,,Grüner Veltliner,Emmerich Knoll
US,Estate,86,35,California,Central Coast,Central Coast,Syrah,Clos La Chance
France,Clos Windsbuhl,95,80,Alsace,Alsace,,Gewürztraminer,Domaine Zind-Humbrecht
Italy,Tenuta Valleselle Aurum,88,45,Veneto,Amarone della Valpolicella Classico,,"Corvina, Rondinella, Molinara",Tinazzi
US,,88,22,California,Russian River Valley,Sonoma,Arneis,Seghesio
Australia,Julius,90,30,South Australia,Eden Valley,,Riesling,Henschke
US,Alpha Wolf Vineyards,87,40,California,Napa Valley,Napa,Cabernet Sauvignon,Eagle Eye
Portugal,Marquês de Borba,88,14,Alentejo,,,Portuguese Red,J. Portugal Ramos
Italy,,83,,Tuscany,Rosso di Montalcino,,Sangiovese Grosso,Poggio dell'Aquila
US,Floodgate Vineyard,92,54,California,Russian River Valley,Sonoma,Pinot Noir,Fulcrum
France,,86,20,Bordeaux,Bordeaux Blanc,,Bordeaux-style White Blend,Château Timberlay
US,,83,15,Oregon,Dundee Hills,Willamette Valley,Pinot Blanc,Erath
US,Alden Perry Reserve Napa Redwoods Estate,92,42,California,Mount Veeder,Napa,Bordeaux-style Red Blend,Yates Family Vineyard
New Zealand,Unoaked,85,15,East Coast,,,Chardonnay,Gunn Estate
US,,90,30,California,Marin County,North Coast,Pinot Noir,De Loach
France,Prestige,84,12,Rhône Valley,Costières de Nîmes,,Rhône-style Red Blend,Château de Valcombe
US,,84,14,California,Lodi,Central Valley,Zinfandel,Plungerhead
Italy,,84,9,Veneto,Soave,,Garganega,Bolla
New Zealand,Seddon,92,44,Marlborough,,,Pinot Noir,Villa Maria
Australia,Poacher's Blend Semillon-Sauvignon Blanc-Riesling,86,13,South Australia,Barossa,,White Blend,St Hallett
US,,90,50,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Sauvignon,Browne Family Vineyards
Canada,Icewine,91,50,Ontario,Niagara Peninsula,,Riesling,Henry of Pelham
France,,84,,Bordeaux,Bordeaux Supérieur,,Bordeaux-style Red Blend,Château Grand Rolland
France,Vide Bourse Premier Cru,92,,Burgundy,Chassagne-Montrachet,,Chardonnay,Albert Bichot
US,,90,40,California,Sonoma Coast,Sonoma,Pinot Noir,Glasshaus
Spain,Viña Borgia,86,6,Northern Spain,Campo de Borja,,Garnacha,Borsao
US,Van Ness Vineyard,94,53,California,Alexander Valley,Sonoma,Syrah,Palmeri
US,J-W,84,13,Iowa,Iowa,,Rosé,Jasper
US,Estate Grown,85,35,California,Russian River Valley,Sonoma,Sauvignon Blanc,Rochioli
Portugal,Vila Santa Reserva,91,20,Alentejano,,,Portuguese Red,J. Portugal Ramos
US,Proprietor's Reserve Barrel Fermented,86,20,New York,Finger Lakes,Finger Lakes,Chardonnay,Chateau Lafayette Reneau
US,,95,20,Washington,Walla Walla Valley (WA),Columbia Valley,Chardonnay,Rulo
US,,83,11,California,California,California Other,Zinfandel,Avenue
US,Oak Select,87,25,Oregon,Willamette Valley,Willamette Valley,Chardonnay,Noble Estate
US,,86,25,California,Santa Clara Valley,Central Coast,Viognier,Lion Ranch
New Zealand,Old Coach Road,86,20,Nelson,,,Pinot Noir,Seifried
US,Crossfire Beckstoffer Missouri Hopper Vineyard,87,85,California,Oakville,Napa,Cabernet Sauvignon,World's End
US,Terroir Champoux Vineyard,85,25,Washington,Horse Heaven Hills,Columbia Valley,Cabernet Sauvignon,Hogue
France,,85,12,Bordeaux,Bordeaux Blanc,,Bordeaux-style White Blend,Château Grand Jean
US,Highlands Estates Trace Ridge,92,75,California,Knights Valley,Sonoma,Bordeaux-style Red Blend,Kendall-Jackson
Argentina,Gemela Reserva,85,20,Mendoza Province,San Rafael,,Cabernet Sauvignon,Finca Santa Justina
US,,87,18,California,Happy Canyon of Santa Barbara,Central Coast,Sauvignon Blanc,3CV
Portugal,Casa de Santar,89,15,Dão,,,Portuguese Red,Dão Sul
New Zealand,,84,19,Kumeu,,,Sauvignon Blanc,Kumeu River
Spain,Atteca Armas Old Vines,92,45,Northern Spain,Calatayud,,Garnacha,Bodegas Ateca
Spain,Tinto,83,6,Levante,Valencia,,Bobal,El Copero
US,Fish House,88,13,Washington,Columbia Valley (WA),Columbia Valley,Sauvignon Blanc,Magnificent Wine Company
US,Reserve,86,22,New York,North Fork of Long Island,Long Island,Merlot,Christiano Family
US,,85,35,California,Santa Lucia Highlands,Central Coast,Chardonnay,In Re
Italy,Sylvoz Brut,85,15,Veneto,Prosecco,,Glera,Le Colture
US,The Contender,91,55,Washington,Walla Walla Valley (WA),Columbia Valley,Syrah,Reynvaan Family Vineyards
US,TF Cab,91,65,California,Napa Valley,Napa,Cabernet Sauvignon,Tyler Florence
Chile,,86,10,Maipo Valley,,,Syrah,Carmen
France,Cuvée Millesimé Grand Cru Brut,93,75,Champagne,Champagne,,Chardonnay,Pierre Moncuit
US,Cañon Creek Vineyard,85,40,California,Napa Valley,Napa,Cabernet Sauvignon,Midsummer Cellars
France,Chardonnay de Chardonnay,85,16,Burgundy,Mâcon-Chardonnay,,Chardonnay,Cave de Lugny
Spain,VA Viña Aljibes,84,15,Central Spain,Vino de la Tierra de Castilla,,Sauvignon Blanc-Chardonnay,Aljibes
US,,90,16,Oregon,Umpqua Valley,Southern Oregon,Pinot Gris,Anindor
US,Cold Creek Vineyard,89,26,Washington,Columbia Valley (WA),Columbia Valley,Chardonnay,Chateau Ste. Michelle
US,,88,38,California,Rutherford,Napa,Merlot,Frog's Leap
New Zealand,,90,23,Nelson,,,Pinot Noir,Woollaston
Italy,Tezza,89,20,Veneto,Valpolicella Ripasso Valpantena Superiore,,"Corvina, Rondinella, Molinara",Tezza
US,,87,14,California,Mendocino,Mendocino/Lake Counties,Chenin Blanc,Graziano
Hungary,,85,9,Neszmély,,,Grüner Veltliner,Craftsman
South Africa,Barrel Fermented,89,38,Stellenbosch,,,Chardonnay,Mulderbosch
US,,82,9,California,California,California Other,Merlot,Camelot
France,,84,10,Bordeaux,Bordeaux Blanc,,Bordeaux-style White Blend,Mouton-Cadet
US,,89,18,California,Shenandoah Valley (CA),Sierra Foothills,Sauvignon Blanc,Helwig
US,,86,19,New York,Finger Lakes,Finger Lakes,Merlot,Keuka Spring
Chile,Lote D,87,14,Marchigue,,,Syrah,Polkura
US,,86,14,California,Sonoma County,Sonoma,Fumé Blanc,Dry Creek Vineyard
US,,87,80,California,Rutherford,Napa,Cabernet Sauvignon,Pine Ridge
US,Chapitre 3,90,,Washington,Columbia Valley (WA),Columbia Valley,Syrah,Betz Family
Italy,,89,30,Tuscany,Rosso di Montalcino,,Sangiovese Grosso,Querce Bettina
US,Wallula Vineyard Biodynamic,95,32,Washington,Columbia Valley (WA),Columbia Valley,Riesling,Pacific Rim
Israel,Reserve Kosher,81,15,Upper Galilee,,,Sauvignon Blanc,Binyamina
France,Extra Fruit XF,85,10,Bordeaux,Bordeaux Blanc,,Sauvignon Blanc,Calvet
Italy,,90,35,Tuscany,Brunello di Montalcino,,Sangiovese,Tenuta di Sesta
New Zealand,,89,25,Marlborough,,,Sauvignon Blanc,Crowded House
Italy,,87,17,Tuscany,Rosso di Montalcino,,Sangiovese Grosso,La Gerla
US,,91,20,Washington,Columbia Valley (WA),Columbia Valley,Syrah,Arbor Crest
France,,89,,Bordeaux,Haut-Médoc,,Bordeaux-style Red Blend,Château Peyrabon
Spain,,89,16,Northern Spain,Rueda,,Verdejo,Valdelapinta
Australia,Reserve,87,12,South Australia,South Australia,,Chardonnay,Jacob's Creek
US,Alary,88,35,California,Russian River Valley,Sonoma,Chardonnay,Arrowood
Spain,,85,10,Central Spain,Vino de la Tierra de Castilla,,Tempranillo,Spanish Vines
Italy,Villa Montignana Riserva,88,23,Tuscany,Chianti Classico,,Sangiovese,Coli
US,,88,22,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Amity
US,Lone Canyon Vineyard,89,65,California,Napa Valley,Napa,Cabernet Sauvignon,Ladera
Argentina,,85,13,Mendoza Province,Mendoza,,Viognier,Viña Las Perdices
US,Bachelor's Button,90,28,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Sauvignon,Isenhower
Italy,Rocchettevino,94,,Piedmont,Barolo,,Nebbiolo,Viberti
Italy,Extra Dry,85,,Veneto,Prosecco,,Glera,Maccari Spumanti
US,Barrel Fermented,85,15,New York,Finger Lakes,Finger Lakes,Chardonnay,Glenora
Portugal,Cape Roca Fish,84,15,Alentejano,,,Portuguese Red,Casca Wines
Portugal,Pedras do Monte,85,8,Península de Setúbal,,,Castelão,DFJ Vinhos
US,La Colline,92,60,California,Arroyo Grande Valley,Central Coast,Pinot Noir,Laetitia
US,,85,22,California,Paicines,Central Coast,Claret,Donati
France,,89,,Bordeaux,Pomerol,,Bordeaux-style Red Blend,Château Altimar
Israel,14 Months Barrel Aged Kosher,84,22,Judean Hills,,,Shiraz,Barkan
US,,83,8,California,California,California Other,Sauvignon Blanc,Bogle
US,Julius Caesar,86,40,Oregon,Oregon,Oregon Other,Syrah,Merrill Cellars
Portugal,,91,20,Douro,,,Touriga Nacional,Quinta de Ventozelo
France,Bonheur Convivial,90,20,Alsace,Alsace,,Pinot Noir,Domaine Rieflé-Landmann
Spain,Via Cenit VDC,92,30,Northern Spain,Tierra del Viños de Zamora,,Tempranillo,Viñas del Cenit
US,Estate,90,22,California,Santa Ynez Valley,Central Coast,Syrah,Zaca Mesa
Argentina,Catena,88,20,Mendoza Province,Mendoza,,Cabernet Sauvignon,Bodega Catena Zapata
US,,87,9,Washington,Columbia Valley (WA),Columbia Valley,Merlot,Hogue
US,Drizzle,91,17,Washington,Red Mountain,Columbia Valley,Pinot Gris,Convergence Zone
France,Réserve,93,35,Alsace,Alsace,,Riesling,Trimbach
Italy,Passión,88,25,Northeastern Italy,Colli Orientali del Friuli,,White Blend,Guerra Albano
Portugal,Vertice Cuvée Reserva,87,19,Douro,,,Portuguese Sparkling,Caves Transmontanas
